Calendar Year Filed,Violation State,Number of Filed Cases,Number of Filed Cases with a Race Basis,Number of Filed Cases with an Asian Race Basis,Number of Filed Cases with an Asian and White Race Basis,Number of Filed Cases with a Black or African-American Race Basis,Number of Filed Cases with a Black and White Race Basis,Number of Filed Cases with a Hawaiian or Pacific-Islander Race Basis,Number of Filed Cases with a Native American Race Basis,Number of Filed Cases with a Native American and Black  Race Basis,Number of Filed Cases with a Native American and White Race Basis,Number of Filed Cases with a White Race Basis,Number of Filed Cases with an Other Mult-Racial Race Basis,Number of Filed Cases with a Color Basis,Number of Filed Cases with a National Origin Basis,Number of Filed Cases with an Hispanic National Origin Basis,Number of Filed Cases with a Disability Basis,Number of Filed Cases with a Familial Status Basis,Number of Filed Cases with a Religion Basis,Number of Filed Cases with a Sex Basis,Number of Filed Cases with a Retaliation Basis,Number of Charges,Number of Administrative Closures,Number of Conciliations and Settlements,Number of Withdrawals after Resolution,Number of No Reasonable Cause Determinations,Number of Department of Justice Closures,Number of Post-Cause Closures by State and Local Partner Agencies,Number of Administrative Law Judge Closures,Number of Elections to Federal District Court,Number of Appeals or Supreme Court Closures,Number of Open Cases
2003,New Mexico,51,10,,,3,2,,3,1,,1,,,12,7,28,5,,8,2,,4,8,11,28,,,,,,
2003,New York,585,205,9,,155,4,,3,,1,29,4,15,129,73,292,102,41,95,24,,63,85,82,311,4,39,,,,
2003,North Carolina,168,77,1,,64,2,,,1,,9,,1,15,8,72,23,8,28,2,,14,49,20,82,,,,,,
2003,North Dakota,40,6,,,2,,,4,,,,,2,,,22,14,,6,1,,2,20,3,12,,1,,,,
2003,Ohio,520,228,2,,200,8,,1,,,15,2,7,27,22,173,90,14,48,53,,50,105,46,242,,58,,,,
2003,Oklahoma,69,20,,,17,,,1,,,1,1,1,8,8,27,17,1,8,3,,8,14,6,41,,,,,,
2003,Oregon,53,14,,,13,,,1,,,,,,7,4,23,11,,2,5,,3,18,5,27,,,,,,
2003,Pennsylvania,264,129,3,,109,3,,3,,,9,2,10,33,20,75,30,9,27,19,1,23,88,25,83,,28,,1,,
2003,Puerto Rico,15,3,,,2,,,,,,1,,,,,11,1,,2,2,,1,3,,11,,,,,,
2003,Rhode Island,36,10,1,,6,1,,1,,,1,,6,7,5,14,6,,1,3,,4,2,6,20,,4,,,,
2003,South Carolina,79,44,1,,38,2,,1,,,2,,1,3,2,27,9,2,16,6,,6,10,5,28,,,,,,
2003,South Dakota,18,3,,,,,,3,,,,,,2,2,5,5,,3,2,,,10,1,7,,,,,,
2003,Tennessee,98,36,,,28,3,,,,,5,,5,9,7,41,18,2,21,4,1,10,8,17,56,,2,,1,,
2003,Texas,677,259,5,,215,7,1,2,1,1,24,3,10,160,135,237,84,11,73,15,,59,144,126,300,,17,,,,
2003,Utah,33,6,,,3,1,,,,,,2,1,9,4,15,1,2,2,4,,8,7,,16,2,,,,,
2003,Vermont,15,1,,,1,,,,,,,,,,,8,6,,,,,1,5,,4,,3,,,,
2003,Virginia,115,47,1,,42,,,,,,4,,6,12,10,39,19,2,11,2,,28,24,6,49,,8,,,,
2003,Washington,222,62,7,,47,1,1,4,1,,1,,1,39,30,88,52,6,20,22,,22,59,17,119,3,1,,,,
2003,West Virginia,36,19,,,18,,,,,,1,,2,1,1,11,2,1,4,1,,3,9,1,20,,1,,,,
2003,Wisconsin,59,17,,,14,,,1,,,1,1,1,4,3,19,17,3,5,1,1,5,17,7,28,1,,,1,,
2003,Wyoming,36,6,,,3,,,3,,,,,1,2,2,14,11,9,1,2,,1,9,6,20,,,,,,
2003,Total,"8,279","3,252",61,4,"2,705",118,7,65,12,11,239,30,170,"1,059",733,"3,236","1,297",245,944,432,21,851,"1,828","1,043","4,018",67,262,11,10,0,0
2004,Alabama,85,53,,,43,1,,,,,9,,,,,34,15,3,12,4,2,22,20,15,22,4,,,2,,
2004,Alaska,7,3,,,3,,,,,,,,,1,,4,1,,,,,1,,,6,,,,,,
2004,Arizona,199,61,3,,43,1,,2,,3,4,5,1,38,27,101,10,2,9,7,,16,44,15,113,,10,,,,
2004,Arkansas,85,50,2,,44,1,,1,,,2,,,11,8,23,8,5,6,,1,11,21,10,42,,,1,,,
2004,California,949,295,12,1,251,14,2,,,,13,2,10,122,90,381,172,36,70,93,,69,174,228,434,2,39,,,,
2004,Colorado,121,32,2,,25,,,2,,,2,1,1,27,22,58,10,4,13,18,,9,10,9,86,,5,,,,
2004,Connecticut,81,25,1,,19,,,,1,,1,3,4,15,10,39,9,2,6,2,,9,14,12,39,,3,,,,
2004,Delaware,37,17,1,,16,,,,,,,,,4,4,13,4,1,2,,,4,18,5,8,,1,,,,
2004,District of Columbia,52,10,,1,9,,,,,,,,,31,27,10,8,1,3,,,4,12,3,13,,1,,,,
2004,Florida,784,292,2,,247,15,,2,1,,22,3,22,94,61,237,108,133,47,33,,234,96,86,336,7,12,,,,
2004,Georgia,176,107,2,,91,7,,,3,,4,,,10,7,64,21,1,30,2,,19,25,16,111,1,4,,,,
2004,Guam,2,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,,
2004,Hawaii,55,19,1,,10,,5,,,,2,1,2,3,,26,6,3,5,5,,8,9,8,26,,1,,,,
2004,Idaho,48,2,,,1,,,,,1,,,1,6,6,28,8,,4,10,,5,21,5,17,,,,,,
2004,Illinois,375,180,1,1,156,12,,1,,,6,3,10,51,29,103,55,13,43,11,14,86,54,85,120,4,1,3,9,2,
2004,Indiana,187,81,1,,68,9,,,,,1,2,3,20,16,67,26,2,22,4,,36,15,31,88,,7,,,,
2004,Iowa,239,80,5,,67,2,2,2,,1,1,,1,13,11,117,21,7,28,10,2,16,105,22,79,,6,,2,,
2004,Kansas,222,122,,,93,11,,5,,1,10,2,3,22,21,61,26,3,26,14,3,34,64,42,75,,,2,1,,
2004,Kentucky,147,58,,,52,3,,1,,,2,,2,9,8,57,21,5,22,7,1,14,28,11,78,1,11,1,,,
2004,Louisiana,175,113,,,103,4,,1,,,5,,1,7,,39,28,1,19,3,1,35,57,7,75,,,,1,,
2004,Maine,59,6,,,4,2,,,,,,,3,5,1,40,7,2,5,6,,12,10,11,17,1,8,,,,
2004,Maryland,102,44,1,,41,2,,,,,,,,10,8,28,10,4,7,4,,10,,20,62,,6,,,,
2004,Massachusetts,246,67,4,,52,4,,,2,,4,1,17,28,14,120,36,3,11,21,,17,14,41,145,2,16,,,,
2004,Michigan,303,122,,,104,6,,2,,,10,,5,21,10,98,55,7,30,10,,37,61,27,174,,3,,,,
2004,Minnesota,90,35,,,28,1,,2,,1,1,2,7,7,6,29,16,1,18,6,,21,16,16,35,2,,,,,
2004,Mississippi,69,43,,,33,4,,,,,6,,,5,2,30,17,1,11,2,,15,14,9,31,,,,,,
2004,Missouri,362,149,,,138,4,,,,,7,,2,14,5,141,49,18,35,13,1,42,74,68,168,,4,,1,,
2004,Montana,49,9,,,5,,,3,,1,,,,3,1,36,6,1,2,2,2,9,15,3,20,,,1,,1,
2004,Nebraska,162,50,,,36,3,,2,1,,7,1,,58,54,39,13,3,26,6,,6,52,15,84,,3,,,,
2004,Nevada,56,20,1,,13,5,,1,,,,,1,8,7,22,10,1,5,6,2,13,14,2,25,,,2,,,
2004,New Hampshire,21,2,,,1,1,,,,,,,1,2,2,12,4,,2,,,1,8,3,9,,,,,,
2004,New Jersey,161,61,1,1,55,,,,,,4,,3,32,23,65,31,12,24,3,3,29,42,9,78,,,1,2,,
2004,New Mexico,54,8,,,5,,,1,,,2,,,15,13,28,11,,4,5,,7,6,5,36,,,,,,
2004,New York,605,251,8,,194,9,,4,,,28,8,13,115,72,261,103,36,148,18,1,55,69,68,372,1,38,,1,,
2004,North Carolina,243,111,1,1,96,7,,1,,1,4,,1,64,54,70,23,3,30,6,,42,57,11,129,,,,,,
2004,North Dakota,32,12,,,4,1,,5,,2,,,2,2,,14,7,,2,2,,2,9,1,18,,2,,,,
2004,Ohio,491,224,2,,183,25,,,1,,11,2,6,20,9,168,74,9,50,36,,51,98,76,201,1,47,,,,
2004,Oklahoma,97,44,,,40,1,,2,,,1,,,8,5,50,14,2,8,2,,18,31,6,42,,,,,,
2004,Oregon,77,11,,,8,,,2,,,1,,1,8,3,53,2,4,6,8,,5,23,10,39,,,,,,
2004,Pennsylvania,410,197,3,,179,8,,1,,,5,1,11,80,72,99,44,2,39,27,2,46,84,26,147,3,70,,2,,
2004,Puerto Rico,21,1,,,1,,,,,,,,,,,17,1,3,3,3,,1,5,4,11,,,,,,
2004,Rhode Island,30,11,1,,8,,,,,,,2,4,5,3,13,5,,3,4,,1,3,2,21,,3,,,,
2004,South Carolina,92,52,1,,43,5,,,,,3,,1,10,8,20,9,1,16,5,,6,13,1,12,,,,,,
2004,South Dakota,40,7,,,2,,,5,,,,,1,1,,27,6,1,1,,7,4,12,,11,6,,,7,,
2004,Tennessee,136,67,,,54,6,,,,,6,1,,7,5,49,35,5,27,4,,16,29,11,74,,1,,,,
2004,Texas,882,336,6,,283,4,,3,,1,36,3,10,198,168,304,134,9,79,27,8,91,177,135,419,,11,2,6,,
2004,Utah,57,10,,,3,1,,2,,1,1,2,,28,25,25,8,3,5,4,,4,20,3,27,,3,,,,
2004,Vermont,36,4,1,,2,,,,,,,1,2,2,,22,8,2,,1,,1,3,3,19,,10,,,,
2004,Virgin Islands,1,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,
2004,Virginia,140,72,4,,60,3,,,,,4,1,7,23,9,44,16,7,15,2,,11,22,6,94,,7,,,,
2004,Washington,204,54,1,,41,5,1,3,2,,1,,2,38,27,87,32,3,16,23,,25,49,5,119,1,5,,,,
2004,West Virginia,39,9,,,6,1,,1,,,1,,,3,2,21,5,3,3,2,,7,10,2,19,,1,,,,
2004,Wisconsin,95,35,,,31,2,,1,,,1,,2,5,1,35,26,2,13,2,4,17,30,18,25,1,,2,2,,
2004,Wyoming,28,6,,,3,,,,,,3,,1,6,6,13,7,,3,,,9,7,3,9,,,,,,
2004,Total,"9,516","3,731",68,5,"3,097",190,10,58,11,13,232,47,164,"1,315",962,"3,543","1,381",370,"1,014",484,54,"1,264","1,864","1,230","4,462",37,339,15,36,3,0
2005,Alabama,81,64,,,63,1,,,,,,,1,3,3,19,9,2,12,1,,17,22,17,25,,,,,,
2005,Alaska,8,4,,,2,1,,,1,,,,,,,2,2,,1,,,1,1,,6,,,,,,
2005,Arizona,233,73,1,,59,4,,3,,,5,1,7,47,27,107,16,6,14,10,,17,43,26,133,,10,,,,
2005,Arkansas,85,43,,,34,3,,,,,6,,2,5,3,35,7,3,11,1,,14,12,9,50,,,,,,
2005,California,"1,047",282,20,1,226,5,2,4,1,,18,5,9,153,106,418,216,27,107,85,1,89,249,107,563,2,33,,1,,
2005,Colorado,100,26,,,19,2,,3,,,2,,,15,14,56,5,3,5,10,,8,11,4,74,,2,,,,
2005,Connecticut,107,25,2,,19,2,,,,,1,1,4,14,12,46,17,4,3,7,,27,34,7,32,,6,,,,
2005,Delaware,52,15,,,13,,,,,,2,,,4,2,29,4,1,7,,,1,13,16,19,,1,,,,
2005,District of Columbia,28,7,,,6,1,,,,,,,,5,1,13,2,,4,1,,7,5,2,9,,1,,,,
2005,Florida,614,224,8,1,183,10,1,2,1,,15,3,11,97,63,265,84,19,50,28,,78,126,46,329,,23,,,,
2005,Georgia,163,95,,,82,3,,1,,,9,,3,29,23,55,26,4,29,7,3,22,23,11,102,,1,,3,,
2005,Hawaii,52,9,,,6,,1,1,,,1,,4,9,1,25,11,1,6,6,,2,13,1,30,,1,,,,
2005,Idaho,38,1,1,,,,,,,,,,,2,2,24,7,2,5,4,,1,20,3,14,,,,,,
2005,Illinois,418,205,6,,179,7,,,,,9,4,1,45,25,142,43,13,48,18,8,145,51,84,120,1,3,3,5,,
2005,Indiana,223,91,1,,75,10,,2,,,3,,,25,17,73,26,3,29,10,,51,30,16,106,7,5,,,,
2005,Iowa,218,68,2,,59,4,,,,,2,1,1,16,15,101,39,2,17,5,,13,100,36,60,2,3,,1,,
2005,Kansas,152,60,,,48,,,,1,1,10,,,12,10,70,17,3,11,12,1,24,59,13,54,,1,,1,,
2005,Kentucky,112,40,,,38,2,,,,,,,,11,10,41,22,1,13,6,,2,33,13,55,,7,,,,
2005,Louisiana,164,103,1,,87,6,,1,,,8,,1,8,6,60,25,1,26,5,,30,48,14,72,,,,,,
2005,Maine,73,10,1,,8,1,,,,,,,5,7,1,39,20,1,5,1,,3,30,11,20,,9,,,,
2005,Maryland,124,33,3,,28,,,,1,,1,,5,12,6,55,13,7,15,3,,8,2,11,102,,1,,,,
2005,Massachusetts,275,81,4,,67,2,,,,,7,1,13,35,16,117,60,5,12,6,1,10,10,45,183,,25,1,,,
2005,Michigan,396,145,,,126,6,,,2,2,9,,1,22,7,213,46,5,35,14,1,93,68,55,162,,11,,1,,
2005,Minnesota,76,29,,1,22,4,,1,,,1,,,10,1,39,6,3,10,1,2,21,13,7,33,,,1,1,,
2005,Mississippi,44,26,,,18,5,,,,,3,,1,,,17,6,,4,3,1,18,6,2,17,,,,1,,
2005,Missouri,291,131,2,,114,3,1,2,,1,7,1,,21,12,108,19,1,35,16,4,39,60,47,132,,5,,4,,
2005,Montana,45,12,,,2,,,8,,2,,,,1,1,22,7,2,7,4,,6,13,1,25,,,,,,
2005,Nebraska,98,34,,,28,,,2,1,,2,1,,12,8,33,10,2,10,14,,3,34,6,52,,2,,,,
2005,Nevada,50,15,,,12,1,,,,,2,,,10,8,23,8,,5,1,,3,17,4,26,,,,,,
2005,New Hampshire,78,7,1,1,4,,,,1,,,,2,5,4,21,51,,,2,,6,56,5,11,,,,,,
2005,New Jersey,236,72,2,,58,2,,1,,,9,,9,37,29,114,49,5,18,6,,24,42,29,132,,5,,,,
2005,New Mexico,70,16,,,7,1,,8,,,,,,19,19,41,6,1,8,5,,10,9,10,41,,,,,,
2005,New York,560,197,8,1,159,3,,1,1,,20,4,26,106,66,304,87,31,94,18,1,50,80,81,300,1,39,,1,,
2005,North Carolina,172,74,3,,62,3,,1,,,5,,2,31,27,62,25,3,22,3,,18,57,10,77,,5,,,,
2005,North Dakota,37,4,,,,,,4,,,,,,3,3,26,7,,2,1,,2,17,1,14,,3,,,,
2005,Ohio,476,176,3,,149,11,,2,2,,9,,6,32,11,193,69,15,49,44,,75,121,78,160,2,23,,,,
2005,Oklahoma,113,65,,,50,1,,8,1,,5,,1,4,4,45,14,2,7,6,,14,23,9,62,,4,,,,
2005,Oregon,80,29,1,,23,2,,2,,,1,,,13,10,39,8,3,6,9,5,11,15,6,43,,,,5,,
2005,Pennsylvania,351,141,6,,129,3,2,,,,1,,17,63,42,112,40,8,44,14,,50,82,31,144,,26,,,,
2005,Puerto Rico,14,,,,,,,,,,,,,2,1,13,,,,,1,1,7,,5,,,1,,,
2005,Rhode Island,29,10,,,3,,,1,1,,5,,1,4,3,11,4,1,2,,,1,2,6,17,,3,,,,
2005,South Carolina,92,49,,,40,3,,,,,5,1,,17,15,24,10,1,8,6,,14,35,1,41,,,,,,
2005,South Dakota,27,5,,,2,,,3,,,,,1,2,,11,9,,,1,1,,15,,11,,,,1,,
2005,Tennessee,140,58,,,47,5,,,,,5,1,,9,6,68,21,1,15,2,,15,16,5,80,,12,,,,
2005,Texas,969,396,7,1,333,6,,3,,,44,2,5,206,158,338,118,16,85,38,1,129,176,149,495,,12,1,,,
2005,Utah,60,20,10,,5,,2,1,,,2,,10,18,14,23,11,3,4,2,,16,17,3,19,,5,,,,
2005,Vermont,20,,,,,,,,,,,,,1,1,15,2,1,3,,,4,4,,12,,,,,,
2005,Virgin Islands,2,1,,,1,,,,,,,,,1,1,1,,,,,,,1,,1,,,,,,
2005,Virginia,136,65,10,,46,6,,,,,3,,1,14,5,45,21,2,9,3,,13,17,6,80,,19,,,,
2005,Washington,238,76,4,,62,4,1,2,,,3,,4,34,18,127,26,3,18,21,1,26,73,11,126,,1,,1,,
2005,West Virginia,29,13,,,11,,,,,,2,,1,1,,13,2,,3,,,3,2,,22,,2,,,,
2005,Wisconsin,139,64,1,,52,6,,2,,,3,,,8,7,67,11,1,11,5,2,20,55,21,41,,,,2,,
2005,Wyoming,21,10,,,,,,8,2,,,,,3,3,7,1,,1,,,12,2,1,6,,,,,,
2005,Total,"9,456","3,499",108,6,"2,866",139,10,77,16,6,245,26,155,"1,263",847,"3,967","1,365",218,945,465,34,"1,267","2,070","1,077","4,545",15,309,7,28,0,0
2006,Alabama,105,76,,,66,2,,,,,8,,1,4,2,36,19,2,28,6,,32,6,25,42,,,,,,
2006,Alaska,17,4,,,2,1,,,,,,1,,,,12,1,,,2,1,2,3,1,10,,,,1,,
2006,Arizona,247,62,2,,44,5,,2,1,,7,1,4,44,26,120,23,6,11,29,,26,60,19,128,,12,,,,
2006,Arkansas,128,85,,,74,2,,1,,,8,,1,,,41,12,1,7,6,,32,23,14,56,,1,,,,
2006,California,"1,352",364,36,3,271,10,,2,2,,36,4,4,235,130,555,262,34,107,124,8,138,281,116,757,,48,1,7,,
2006,Colorado,116,37,1,,26,3,,2,,,1,4,,28,24,44,7,3,7,7,,14,6,3,90,,3,,,,
2006,Connecticut,125,24,,,17,3,,1,,,3,,7,10,7,67,22,4,3,1,1,29,45,4,31,,10,,1,,
2006,Delaware,39,15,,,14,,,,,,1,,,6,3,20,3,,1,,,2,9,10,17,,,,,,
2006,District of Columbia,25,5,,,5,,,,,,,,,5,4,12,1,,4,2,,3,11,,10,,1,,,,
2006,Florida,641,225,4,,188,11,1,2,,,12,7,10,108,53,305,100,13,57,28,2,86,115,52,341,,33,,2,,
2006,Georgia,248,146,1,,127,6,,,1,,11,,5,23,15,92,30,7,45,8,3,78,31,5,130,1,,,3,,
2006,Hawaii,60,14,3,,5,,,,,,6,,3,9,1,30,8,4,11,10,,6,12,7,26,,4,,,,
2006,Idaho,63,5,2,1,2,,,,,,,,,4,2,42,4,16,8,3,4,12,21,5,21,,,1,3,,
2006,Illinois,474,209,1,,187,10,,1,,,8,2,4,57,28,162,84,14,55,24,3,143,58,104,152,1,2,2,1,,
2006,Indiana,202,94,,,87,4,,1,,,1,1,2,20,19,78,27,6,19,6,,48,28,31,84,1,2,,,,
2006,Iowa,204,85,1,,79,,,2,,,3,,3,19,11,80,40,4,19,14,,36,62,17,86,1,,,,,
2006,Kansas,152,52,,,39,6,,4,2,,1,,,9,7,64,26,2,15,8,,34,35,16,67,,,,,,
2006,Kentucky,103,39,,,33,4,,1,,,1,,,12,8,40,15,3,9,2,2,6,16,14,58,,5,,2,,
2006,Louisiana,129,87,1,,76,3,,1,,,5,1,,7,6,26,23,3,12,4,,25,37,12,54,,1,,,,
2006,Maine,88,17,1,,9,4,,1,1,,1,,3,6,2,54,9,,4,12,,9,27,14,34,,4,,,,
2006,Maryland,101,49,3,,41,1,,,,,2,2,3,11,6,42,5,3,4,3,,7,3,17,68,,,,,,
2006,Massachusetts,283,65,3,1,49,6,,,,,5,1,18,39,12,124,65,3,18,17,,31,8,58,156,,25,,,,
2006,Michigan,469,267,2,,244,8,,2,1,1,9,,,27,10,153,42,12,34,21,,111,106,55,189,1,3,,,,
2006,Minnesota,106,42,1,,34,3,,4,,,,,3,22,8,46,13,3,15,6,,35,22,14,35,,,,,,
2006,Mississippi,59,43,,,36,5,,,,,2,,,4,2,23,6,2,10,7,5,11,12,4,27,,,1,4,,
2006,Missouri,383,163,,,150,4,1,1,,,6,1,2,13,5,151,40,5,54,23,,61,74,58,173,4,6,,,,
2006,Montana,33,6,,,2,1,,2,,,1,,,,,19,7,2,4,1,2,10,9,4,8,,,,2,,
2006,Nebraska,172,52,1,,41,1,,2,1,,6,,,66,57,43,15,4,14,29,,10,33,4,97,,23,,,,
2006,Nevada,97,31,4,,20,5,,,,,1,1,,12,9,52,11,,7,6,,17,15,17,47,1,,,,,
2006,New Hampshire,55,8,,,8,,,,,,,,1,4,3,32,8,,,5,,4,22,6,23,,,,,,
2006,New Jersey,251,100,2,,90,5,,,,,2,1,4,51,22,117,38,11,28,4,,40,46,18,142,,3,,,,
2006,New Mexico,57,19,,,11,,,2,1,1,4,,1,10,10,30,8,2,7,4,1,8,7,9,32,,,,1,,
2006,New York,564,173,10,,133,4,,,1,1,20,4,27,103,60,297,95,41,85,20,2,75,50,70,289,5,60,1,1,,
2006,North Carolina,202,106,1,,82,14,,,,,9,,1,40,32,67,21,2,29,3,,39,52,10,87,3,5,,,,
2006,North Dakota,36,5,,,1,,,3,,,1,,1,4,1,23,6,3,4,1,,3,15,1,12,,5,,,,
2006,Ohio,566,229,,,197,18,,1,,,12,1,8,32,13,252,86,7,73,41,,77,149,60,220,,33,,,,
2006,Oklahoma,94,50,,,38,4,,,2,,6,,2,2,1,39,15,,9,7,,11,19,10,54,,,,,,
2006,Oregon,110,15,,,11,,,,1,,3,,,10,7,74,6,4,2,9,1,6,20,9,74,,,,1,,
2006,Pennsylvania,397,201,,,182,6,,2,1,1,8,1,8,60,49,84,35,5,45,42,,44,78,32,203,,19,,,,
2006,Puerto Rico,9,,,,,,,,,,,,,,,9,,,,2,1,1,4,,3,,,1,,,
2006,Rhode Island,47,11,,,9,,,,,,2,,2,6,5,24,9,,2,3,,2,11,9,22,,3,,,,
2006,South Carolina,86,47,1,,39,5,,,,,2,,,6,4,34,10,1,6,4,,16,27,4,39,,,,,,
2006,South Dakota,25,4,,,1,,,3,,,,,,1,1,13,9,,1,1,,,15,1,9,,,,,,
2006,Tennessee,179,88,,,72,7,,1,1,,5,2,1,35,32,59,24,5,19,5,,22,26,6,119,,5,,,,
2006,Texas,963,395,3,1,334,10,,2,,1,41,3,1,188,160,346,104,15,72,37,,174,157,161,453,,3,,,,
2006,Utah,56,20,,1,5,,,2,,,8,4,1,12,11,25,14,5,10,8,,8,17,7,20,,2,,,,
2006,Vermont,32,3,,,1,,,,1,,,1,1,1,1,21,6,,1,2,,3,8,4,16,,1,,,,
2006,Virginia,159,59,1,1,52,2,,,,,2,1,1,30,22,52,21,2,8,3,3,13,27,20,84,6,5,,3,,
2006,Washington,290,93,2,,76,5,2,3,2,1,1,1,3,36,26,132,29,8,18,31,,30,60,13,184,,2,,,,
2006,West Virginia,35,19,,,11,5,,,1,,2,,,6,2,11,1,1,4,,,4,4,2,24,,,,,,
2006,Wisconsin,144,61,1,,53,3,,1,,,3,,,12,8,64,32,2,18,7,1,29,35,25,54,,,,1,,
2006,Wyoming,9,1,,,,,,1,,,,,,,,3,2,1,2,,,2,3,,4,,,,,,
2006,Total,"10,587","4,070",88,8,"3,374",196,4,53,20,6,276,45,136,"1,449",927,"4,341","1,499",271,"1,025",648,40,"1,665","2,020","1,177","5,161",24,329,7,33,0,0
2007,Alabama,96,59,,,56,2,,,1,,,,,1,1,40,12,,18,1,1,35,6,28,26,,,,1,,
2007,Alaska,21,7,,,6,,,,1,,,,,2,1,15,1,,1,2,,2,2,4,13,,,,,,
2007,Arizona,317,82,4,,58,5,,5,1,,8,1,14,53,33,157,21,10,20,42,,29,63,27,186,1,11,,,,
2007,Arkansas,151,105,,,97,4,,,,,3,1,,4,3,49,10,2,18,3,,8,47,20,68,,2,,,,
2007,California,"1,306",379,14,2,302,17,,7,,1,30,6,4,199,100,588,212,28,90,118,2,160,237,117,745,1,41,,2,,
2007,Colorado,111,21,1,,15,1,,2,,,2,,,31,28,51,13,3,8,10,1,8,3,10,85,,2,1,,,
2007,Connecticut,126,17,1,,12,2,,,,,2,,5,12,7,85,10,1,2,3,,23,40,7,45,,9,,,,
2007,Delaware,38,15,,,14,,,,,,1,,,,,23,2,2,4,1,,,9,9,18,,1,,,,
2007,District of Columbia,45,13,2,,10,,,,,,1,,1,8,2,18,4,3,6,5,,6,11,3,24,,,,,,
2007,Florida,641,202,2,,167,14,,3,,,13,3,7,101,66,306,93,16,52,34,1,96,110,39,344,,40,,1,,
2007,Georgia,220,123,2,1,106,5,,,,,9,,5,33,23,90,23,4,45,5,,60,25,19,115,,1,,,,
2007,Guam,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
2007,Hawaii,54,12,2,1,5,,1,,,,3,,1,10,,23,7,1,7,8,,5,13,10,24,,1,,,,
2007,Idaho,107,4,,,4,,,,,,,,,17,10,77,15,3,12,,,32,32,11,32,,,,,,
2007,Illinois,353,151,,1,133,8,,2,,1,6,,3,43,14,115,65,15,31,17,2,103,35,84,114,1,1,2,,,
2007,Indiana,203,96,1,,83,2,,1,,,6,3,,14,8,87,34,5,21,5,7,37,27,37,87,,4,,7,,
2007,Iowa,214,92,,,82,3,,1,,,6,,1,12,8,83,27,,27,13,,34,60,10,102,,5,,,,
2007,Kansas,149,61,1,,51,3,,3,,,3,,1,10,7,61,16,1,13,3,1,44,23,26,55,,,1,,,
2007,Kentucky,120,41,,,38,1,,1,,,1,,1,15,13,55,24,1,13,4,,20,19,13,54,,5,,,,
2007,Louisiana,123,83,1,1,67,2,,1,,,9,2,2,2,2,35,18,5,16,4,,27,38,6,49,,3,,,,
2007,Maine,56,8,1,,2,1,,,,1,,3,,2,,32,12,1,6,1,,9,11,9,20,,7,,,,
2007,Maryland,106,42,3,,38,1,,,,,,,4,16,10,44,12,6,11,6,,10,,16,74,,3,,,,
2007,Massachusetts,298,58,3,,44,3,,1,1,,6,,10,42,24,151,56,4,11,9,,32,7,71,152,4,32,,,,
2007,Michigan,300,145,,,121,8,,1,2,2,10,1,,12,10,114,32,6,20,19,,53,38,43,147,,10,,,,
2007,Minnesota,82,34,2,,27,1,,,1,1,2,,,2,2,39,13,2,7,2,4,30,13,8,27,,,,4,,
2007,Mississippi,48,31,1,,24,5,,,,,,1,,2,1,14,12,,6,2,1,14,3,9,20,1,,1,,,
2007,Missouri,406,153,1,,128,8,,1,1,,14,,,7,3,189,33,4,35,20,,80,76,61,161,,9,,,,
2007,Montana,21,4,,,1,,,3,,,,,,,,13,5,,1,,,7,6,1,7,,,,,,
2007,Nebraska,143,43,,1,32,2,,5,,1,2,,7,34,28,48,18,4,12,20,,12,44,3,78,,5,,,,
2007,Nevada,104,43,1,,36,1,,,2,,2,1,1,16,10,40,12,3,2,6,2,24,13,20,45,,,2,,,
2007,New Hampshire,23,3,,,2,1,,,,,,,1,1,,12,6,,,2,,1,8,2,12,,,,,,
2007,New Jersey,244,99,,1,81,6,,1,2,,8,,,39,21,120,31,14,23,9,,32,26,43,136,,2,,,,
2007,New Mexico,68,22,,,8,1,,2,2,1,8,,,9,6,23,18,,6,2,1,10,24,8,25,,,,1,,
2007,New York,661,220,10,,169,6,,1,3,1,22,8,41,120,76,355,147,46,134,34,2,74,44,70,366,,79,1,1,,
2007,North Carolina,215,114,,3,97,6,,,,,6,2,,42,30,62,21,8,25,8,,54,49,11,92,2,1,,,,
2007,North Dakota,62,18,,,13,,,4,,1,,,9,7,,33,15,,3,,,2,21,3,31,,5,,,,
2007,Ohio,491,194,1,1,157,14,1,,2,1,15,2,11,23,7,184,101,21,51,29,,78,116,48,201,,19,,,,
2007,Oklahoma,110,54,,,46,1,,1,1,,5,,,11,9,43,5,4,12,4,,12,16,6,76,,,,,,
2007,Oregon,97,20,1,,9,1,,7,,,2,,,15,14,54,13,5,7,2,1,15,15,12,54,,,,1,,
2007,Pennsylvania,346,131,4,,115,3,,,,,9,,24,59,37,133,47,4,67,17,2,49,115,32,119,,15,,2,,
2007,Puerto Rico,38,5,,,3,,,1,,,1,,1,4,4,29,6,1,4,,2,8,10,5,13,,,1,,1,
2007,Rhode Island,50,21,,,17,1,,2,,,1,,12,8,2,20,7,,5,1,,7,13,10,18,,2,,,,
2007,South Carolina,112,55,1,,42,3,,,,1,8,,,6,2,40,18,2,16,11,,13,32,5,61,,1,,,,
2007,South Dakota,11,4,,,,2,,2,,,,,,2,2,2,4,,2,,,2,4,,5,,,,,,
