Calendar Year Filed,Violation State,Number of Filed Cases,Number of Filed Cases with a Race Basis,Number of Filed Cases with an Asian Race Basis,Number of Filed Cases with an Asian and White Race Basis,Number of Filed Cases with a Black or African-American Race Basis,Number of Filed Cases with a Black and White Race Basis,Number of Filed Cases with a Hawaiian or Pacific-Islander Race Basis,Number of Filed Cases with a Native American Race Basis,Number of Filed Cases with a Native American and Black  Race Basis,Number of Filed Cases with a Native American and White Race Basis,Number of Filed Cases with a White Race Basis,Number of Filed Cases with an Other Mult-Racial Race Basis,Number of Filed Cases with a Color Basis,Number of Filed Cases with a National Origin Basis,Number of Filed Cases with an Hispanic National Origin Basis,Number of Filed Cases with a Disability Basis,Number of Filed Cases with a Familial Status Basis,Number of Filed Cases with a Religion Basis,Number of Filed Cases with a Sex Basis,Number of Filed Cases with a Retaliation Basis,Number of Charges,Number of Administrative Closures,Number of Conciliations and Settlements,Number of Withdrawals after Resolution,Number of No Reasonable Cause Determinations,Number of Department of Justice Closures,Number of Post-Cause Closures by State and Local Partner Agencies,Number of Administrative Law Judge Closures,Number of Elections to Federal District Court,Number of Appeals or Supreme Court Closures,Number of Open Cases
2000,Vermont,21,2,1,,1,,,,,,,,,3,1,8,6,,3,,,2,3,4,10,1,1,,,,
2000,Virginia,91,43,,,41,,,,,,2,,10,14,6,21,20,2,7,2,,15,18,3,55,,,,,,
2000,Washington,268,91,2,,84,,,2,,,11,,1,42,22,107,50,4,23,17,5,43,42,20,148,1,4,,5,,
2000,West Virginia,21,4,,,4,,,,,,,,,,,12,3,1,2,,,5,5,1,9,,,,,,
2000,Wisconsin,58,16,1,,15,,,1,,,,,,3,2,33,5,2,7,,1,10,9,11,27,,,1,,,
2000,Wyoming,7,4,,,1,,,3,,,,,,,,1,,,1,1,,1,1,,5,,,,,,
2000,Total,"7,116","2,792",16,0,"2,576",1,1,50,0,0,215,0,301,838,547,"2,454","1,319",166,776,313,52,964,"1,510",744,"3,413",90,259,12,37,3,0
2001,Alabama,65,44,,,37,,,1,,,7,,1,1,,23,5,,9,1,,11,6,12,36,,,,,,
2001,Alaska,6,2,,,2,,,,,,,,,,,4,,,,,,,3,,3,,,,,,
2001,Arizona,150,39,5,,28,,1,11,,,1,,6,31,27,69,12,7,10,16,,13,38,10,79,,9,,,,
2001,Arkansas,58,27,,,26,,,,,,2,,,6,3,15,12,3,10,,,9,18,4,26,1,,,,,
2001,California,737,192,2,,177,,,4,,,9,,10,119,67,240,181,16,79,49,1,101,200,77,340,2,16,1,,,
2001,Colorado,104,24,,,12,,,4,,,10,,3,15,12,44,7,7,14,21,,41,16,11,35,,,,,,
2001,Connecticut,122,34,,,32,,,,,,2,,8,16,9,57,20,6,9,4,1,13,28,10,51,,14,1,,,
2001,Delaware,19,9,1,,6,,,1,,,1,,,4,1,6,1,1,2,,,6,7,1,4,,1,,,,
2001,District of Columbia,26,14,,,13,,,,,,1,,3,6,2,7,,,7,2,,7,5,2,9,,,,,,
2001,Florida,488,169,,,157,,1,,,,13,,9,76,56,189,70,11,49,24,,44,86,68,262,1,16,,,,
2001,Georgia,147,76,3,,69,,,,,,4,,,10,7,43,24,4,14,9,,3,29,4,109,,2,,,,
2001,Guam,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
2001,Hawaii,29,6,1,,4,,1,,,,2,,1,3,2,13,7,,2,5,,3,2,6,14,,3,,,,
2001,Idaho,44,12,,,12,,,,,,,,1,10,7,14,12,,4,1,,3,14,6,20,1,,,,,
2001,Illinois,195,77,1,,75,,,,,,2,,1,18,14,64,40,1,24,5,5,42,44,22,79,3,,1,4,,
2001,Indiana,151,77,,,71,,,,,,7,,3,17,11,35,17,1,24,7,1,30,10,32,73,2,,,1,,
2001,Iowa,151,54,1,,49,,,2,,,3,,1,15,11,67,13,1,11,20,1,29,33,4,70,2,4,1,,,
2001,Kansas,172,80,,,79,,,2,,,,,5,5,3,60,27,5,32,14,,8,58,39,66,1,,,,,
2001,Kentucky,118,52,,,46,,,2,,,4,,1,11,8,31,24,1,11,3,,13,15,8,65,,9,,,,
2001,Louisiana,138,94,,,90,,,,,,6,,,6,3,29,17,,13,5,,24,25,7,81,1,,,,,
2001,Maine,14,2,,,2,,,1,,,,,2,2,1,8,4,,,,,1,6,,7,,,,,,
2001,Maryland,103,47,1,,45,,,,,,2,,9,6,3,40,9,1,13,2,,17,1,16,55,,14,,,,
2001,Massachusetts,230,58,1,,50,,1,,,,6,,18,46,27,101,44,4,10,6,,16,21,37,137,1,16,,,,
2001,Michigan,166,94,4,,85,,,,,,5,,,10,5,54,21,4,28,7,1,29,29,29,71,,5,,1,,
2001,Minnesota,55,27,,,27,,,,,,,,2,11,3,10,15,,2,,,14,12,7,22,,,,,,
2001,Mississippi,85,72,,,69,,,,,,3,,,1,1,12,5,1,6,1,,6,,2,73,4,,,,,
2001,Missouri,326,168,3,,157,,,2,,,7,,6,13,7,135,38,6,42,27,,37,55,56,159,16,2,,,,
2001,Montana,34,10,1,,5,,,4,,,2,,,2,1,16,6,2,14,1,2,13,6,3,10,,,,2,,
2001,Nebraska,75,18,,,13,,,4,,,1,,4,12,7,32,12,1,3,15,1,5,21,,35,7,6,,1,,
2001,Nevada,60,7,,,7,,,,,,,,,18,17,26,18,2,5,5,2,9,18,4,27,,,,1,1,
2001,New Hampshire,16,2,,,2,,,,,,2,,2,1,,9,3,,2,1,,2,5,,8,1,,,,,
2001,New Jersey,132,43,2,,37,,,,,,8,,32,15,9,70,39,8,23,,10,14,21,12,67,8,,3,7,,
2001,New Mexico,44,12,,,9,,,2,,,2,,1,4,4,23,5,,2,,,1,15,3,20,5,,,,,
2001,New York,496,164,12,,140,,,1,,,15,,98,100,53,202,101,29,97,22,,43,56,61,303,,32,,,,
2001,North Carolina,133,63,1,,58,,,1,,,3,,5,19,17,45,10,2,14,6,,14,35,7,71,2,3,,,,
2001,North Dakota,27,3,,,,,,2,,,1,,,,,18,3,1,3,3,,6,8,,9,,3,,,,
2001,Ohio,419,176,3,,163,,,1,,,14,,2,13,3,123,95,6,47,32,,69,90,79,137,,33,,,,
2001,Oklahoma,77,28,1,,25,,,1,,,3,,,5,5,33,19,3,10,7,,16,12,10,39,,,,,,
2001,Oregon,39,5,,,4,,1,,,,,,2,1,,21,12,,2,3,,3,11,4,21,,,,,,
2001,Pennsylvania,278,119,4,,111,,,,,,21,,25,58,46,84,47,5,52,21,,23,76,36,93,2,27,,,,
2001,Puerto Rico,20,,,,,,,,,,,,,1,1,18,,,1,,,,10,,10,,,,,,
2001,Rhode Island,19,9,,,8,,,1,,,,,5,5,3,5,4,,3,,,3,4,,10,1,1,,,,
2001,South Carolina,54,27,,,26,,,1,,,,,,5,4,17,7,1,6,1,,6,10,2,20,,,,,,
2001,South Dakota,21,4,,,1,,,3,,,,,,2,1,15,3,,1,2,,12,3,,6,,,,,,
2001,Tennessee,90,51,,,45,,,,,,9,,2,8,6,37,14,1,14,1,,3,20,6,55,,,,,,
2001,Texas,583,273,5,,245,,,2,,,22,,6,129,113,152,70,10,55,28,,38,119,62,333,1,1,,,,
2001,Utah,52,10,,,8,,,,,,2,,6,9,7,21,6,3,6,6,,14,7,4,15,1,11,,,,
2001,Vermont,14,3,,,3,,,,,,,,3,,,7,5,,,,,1,3,,9,,1,,,,
